x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std,row_id
770186.2300000001,6270759.18,2,93,0.8131833881040986,0.91684429908024,0.8650138435921693,0.0732993330952045,0.1036609109761412,214.3741745365996,489.5,159.0990257669732,-2281016
770186.53,6270759.18,3,93,0.7699999999999996,0.961168823678018,0.8532807162431485,0.0979312134232804,0.1911688236780184,174.3659488613894,996.0,45.43126676640219,-2281016
770186.8300000001,6270759.18,5,93,0.7761322152843411,0.835359691760365,0.8150918896411348,0.0232046529705946,0.0592274764760238,938.003083383862,1254.6,58.61143233192652,-2281016
770187.1300000001,6270759.18,5,93,0.6536949603203501,1.0012140452670035,0.8157571050568124,0.1620655572162304,0.3475190849466534,159.86332251100316,984.6,262.7866054425149,-2281016
770187.43,6270759.18,3,93,0.8262558535817135,1.1273915114047437,0.9825824946119492,0.1508978556977648,0.3011356578230302,110.69208334312404,614.3333333333334,289.37922063156736,-2281016
770191.03,6270759.18,3,98,1.0204717333535944,1.157935443254014,1.0795170671380183,0.0707499396592133,0.1374637099004196,242.4882418602,641.0,459.0718897950516,-2281017
770191.3300000001,6270759.18,4,98,0.6298982125712174,1.0656082689915474,0.9025675009743388,0.1893514923594371,0.43571005642033,102.00463310300287,1009.0,235.12124531824,-2281017
770191.6300000001,6270759.18,4,98,0.8634447613610261,1.0659405025444748,0.969278030146306,0.0979754773831951,0.2024957411834487,219.4833539940008,670.5,211.7144303064862,-2281017
770191.93,6270759.18,1,98,1.0794577057315298,1.0794577057315298,1.0794577057315298,0.0,0.0,11.11111111111111,489.0,0.0,-2281017
770195.53,6270759.18,3,101,0.7600000000000007,0.9761990530149696,0.8764887424600083,0.1090717399881222,0.2161990530149689,154.1789053582277,881.6666666666666,77.02164198024693,-2281018
770195.8300000001,6270759.18,8,101,0.5243355365511695,0.984788716169774,0.834603714429592,0.1524976940095685,0.4604531796186046,193.04653072982563,1002.375,170.5746066346671,-2281018
770196.1300000001,6270759.18,6,101,0.7556286887516235,0.9838955930054576,0.9229198497565206,0.0846645316781143,0.2282669042538341,292.05577078547026,1088.5,141.54398609619554,-2281018
770196.4300000002,6270759.18,4,101,0.8256606230468879,0.9736781014712764,0.9288882187911728,0.0692682907058406,0.1480174784243884,300.26483978476875,977.0,170.65950505807365,-2281018
