label,x,y,weight,n_points,u_proj_m,row_id,residual_m,residual_abs_m,accepted,delta_m
20,770178.9099999999,6270702.24,5.0,3,-5749553.810443686,-2280995,0.0587875721976161,0.0587875721976161,True,0.983047482519124
21,770167.7206976744,6270703.19860465,43.0,15,-5749548.783249122,-2280993,0.04471299517899752,0.04471299517899752,True,0.983047482519124
22,770177.43,6270703.38,3.0,3,-5749554.00949874,-2280995,-0.1402674810960889,0.1402674810960889,True,0.983047482519124
23,770139.4090734826,6270720.602523962,1878.0,597,-5749548.835885886,-2280993,-0.00792376883327961,0.00792376883327961,True,0.983047482519124
24,770168.8415384616,6270705.356923075,156.0,52,-5749551.209187542,-2280994,0.13940914627164602,0.13940914627164602,True,0.983047482519124
25,770176.5014285715,6270703.851428573,7.0,3,-5749553.926472198,-2280995,-0.05724093969911337,0.05724093969911337,True,0.983047482519124
26,770179.8400000001,6270704.639999999,20.0,13,-5749556.3427888695,-2280996,0.04707696009427309,0.04707696009427309,True,0.983047482519124
27,770184.7705405407,6270704.571891891,37.0,17,-5749558.860134301,-2280997,0.05036609899252653,0.05036609899252653,True,0.983047482519124
28,770168.8899999999,6270708.43322034,295.0,108,-5749553.85777248,-2280995,0.011458778753876686,0.011458778753876686,True,0.983047482519124
29,770120.3897667639,6270714.624606416,1029.0,324,-5749533.803731778,-2280987,-0.09957708325237036,0.09957708325237036,True,0.983047482519124
30,770177.6535294119,6270706.027058822,17.0,11,-5749556.383501454,-2280996,0.006364375352859497,0.006364375352859497,True,0.983047482519124
31,770151.8343280184,6270727.673849657,2634.0,823,-5749561.356085092,-2280998,0.0750498790293932,0.0750498790293932,True,0.983047482519124
32,770174.2615789474,6270708.090526315,114.0,43,-5749556.371340895,-2280996,0.01852493453770876,0.01852493453770876,True,0.983047482519124
33,770180.4376923078,6270707.303076923,13.0,9,-5749558.925891446,-2280997,-0.015391046181321144,0.015391046181321144,True,0.983047482519124
34,770136.2247368423,6270707.840526315,38.0,14,-5749536.289952763,-2280988,-0.06516349874436855,0.06516349874436855,True,0.983047482519124
35,770140.7718207681,6270722.602048364,2109.0,622,-5749551.252772513,-2280994,0.0958241755142808,0.0958241755142808,True,0.983047482519124
36,770176.4663636365,6270709.7579220785,77.0,40,-5749558.944839952,-2280997,-0.03433955181390047,0.03433955181390047,True,0.983047482519124
37,770156.4549055019,6270727.871768164,2381.0,722,-5749563.938374746,-2280999,0.013394795358181,0.013394795358181,True,0.983047482519124
38,770131.7980000002,6270710.500000001,225.0,70,-5749536.245517138,-2280988,-0.020727873779833317,0.020727873779833317,True,0.983047482519124
39,770144.5669760479,6270726.285538922,2004.0,630,-5749556.376185374,-2280996,0.013680455274879932,0.013680455274879932,True,0.983047482519124
40,770181.9260580913,6270715.136639004,482.0,152,-5749566.383291638,-2281000,0.0891124727204442,0.0891124727204442,True,0.983047482519124
41,770172.7610344826,6270711.955862068,29.0,12,-5749558.883658468,-2280997,0.026841931976377964,0.026841931976377964,True,0.983047482519124
42,770140.2972669493,6270725.935137712,1888.0,572,-5749553.847141088,-2280995,0.02209017053246498,0.02209017053246498,True,0.983047482519124
43,770187.4313888891,6270714.638333334,216.0,70,-5749568.834028378,-2281001,0.15901030413806438,0.15901030413806438,True,0.983047482519124
44,770120.6600000001,6270717.392,600.0,194,-5749536.304743681,-2280988,-0.07995441649109125,0.07995441649109125,True,0.983047482519124
45,770146.2468865436,6270728.177414249,1895.0,587,-5749558.86694305,-2280997,0.04355734959244728,0.04355734959244728,True,0.983047482519124
46,770172.0733494143,6270726.895782218,1451.0,442,-5749571.264270099,-2281002,0.2494031535461545,0.2494031535461545,True,0.983047482519124
47,770192.5027272727,6270717.18,33.0,12,-5749573.650368955,-2281003,0.3839388685300946,0.3839388685300946,True,0.983047482519124
48,770165.078150834,6270728.307411168,1379.0,412,-5749568.814138513,-2281001,0.17890016920864582,0.17890016920864582,True,0.983047482519124
49,770190.0550000002,6270718.755,4.0,4,-5749573.714880783,-2281003,0.31942704040557146,0.31942704040557146,True,0.983047482519124
50,770193.8915384616,6270719.429999999,52.0,19,-5749576.294459554,-2281004,0.2604828393086791,0.2604828393086791,True,0.983047482519124
51,770106.477368421,6270720.290526316,57.0,19,-5749531.368252721,-2280986,-0.1847325973212719,0.1847325973212719,True,0.983047482519124
52,770148.8061216351,6270735.493609172,2006.0,609,-5749566.442524292,-2281000,0.029879819601774216,0.029879819601774216,True,0.983047482519124
53,770187.9175,6270720.067499999,8.0,4,-5749573.717593673,-2281003,0.3167141508311033,0.3167141508311033,True,0.983047482519124
54,770189.0324390244,6270722.470243902,82.0,39,-5749576.348879927,-2281004,0.20606246683746576,0.20606246683746576,True,0.983047482519124
55,770195.4602325582,6270721.324186047,43.0,18,-5749578.729094777,-2281005,0.34648218750953674,0.34648218750953674,True,0.983047482519124
56,770186.0299999999,6270721.18,6.0,3,-5749573.680344491,-2281003,0.3539633322507143,0.3539633322507143,True,0.983047482519124
57,770113.6062237762,6270724.7156643355,429.0,124,-5749538.86542396,-2280989,-0.12000012397766113,0.12000012397766113,True,0.983047482519124
58,770122.4093628809,6270728.056454294,722.0,229,-5749546.312478972,-2280992,-0.005151424556970596,0.005151424556970596,True,0.983047482519124
