x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std
770173.3300000001,6270685.379999999,4,,5.88,6.07,6.0024999999999995,0.08421203397773179,0.1900000000000004,233.91812865497027,nan,nan
770173.6300000001,6270685.379999999,2,,5.89,5.96,5.925,0.049497474683058526,0.07000000000000028,317.4603174603162,nan,nan
770161.3300000001,6270685.68,2,,5.53,5.66,5.595000000000001,0.09192388155425078,0.1299999999999999,170.9401709401711,nan,nan
770161.93,6270685.68,1,,5.89,5.89,5.89,0.0,0.0,11.11111111111111,nan,nan
770162.2300000001,6270685.68,4,,5.78,5.84,5.8175,0.026299556396765605,0.05999999999999961,740.7407407407455,nan,nan
770162.53,6270685.68,5,,5.73,5.81,5.758,0.03346640106136238,0.07999999999999918,694.4444444444516,nan,nan
770162.8300000001,6270685.68,6,,5.62,5.75,5.706666666666667,0.045460605656619635,0.1299999999999999,512.8205128205133,nan,nan
770163.1300000001,6270685.68,1,,5.93,5.93,5.93,0.0,0.0,11.11111111111111,nan,nan
770163.43,6270685.68,1,,5.78,5.78,5.78,0.0,0.0,11.11111111111111,nan,nan
770163.7300000001,6270685.68,1,,5.89,5.89,5.89,0.0,0.0,11.11111111111111,nan,nan
770171.2300000001,6270685.68,1,,6.06,6.06,6.06,0.0,0.0,11.11111111111111,nan,nan
770171.53,6270685.68,1,,5.93,5.93,5.93,0.0,0.0,11.11111111111111,nan,nan
770172.1300000001,6270685.68,4,,5.75,5.9,5.8175,0.0741057802513859,0.15000000000000036,296.2962962962956,nan,nan
770172.43,6270685.68,4,,5.81,5.94,5.8625,0.055602757725374645,0.13000000000000078,341.88034188033987,nan,nan
770172.7300000001,6270685.68,5,,5.77,5.84,5.804,0.025099800796022607,0.07000000000000028,793.6507936507904,nan,nan
770161.3300000001,6270685.98,4,,5.54,5.78,5.66,0.0993310961716757,0.2400000000000002,185.18518518518502,nan,nan
770161.6300000001,6270685.98,6,,5.37,5.97,5.748333333333334,0.20232811635229178,0.5999999999999996,111.11111111111119,nan,nan
770161.93,6270685.98,4,,5.75,5.76,5.755,0.005773502691896263,0.009999999999999787,4444.444444444539,nan,nan
770162.2300000001,6270685.98,5,,5.68,5.82,5.747999999999999,0.06300793600809372,0.14000000000000057,396.8253968253952,nan,nan
770162.53,6270685.98,4,,5.6,5.77,5.695,0.08346656017032608,0.16999999999999993,261.4379084967322,nan,nan
770162.8300000001,6270685.98,4,,5.41,5.85,5.665,0.2125245083906009,0.4399999999999995,101.01010101010112,nan,nan
770163.1300000001,6270685.98,1,,5.64,5.64,5.64,0.0,0.0,11.11111111111111,nan,nan
770166.43,6270685.98,1,,5.52,5.52,5.52,0.0,0.0,11.11111111111111,nan,nan
770166.7300000001,6270685.98,2,,5.77,5.84,5.805,0.049497474683058526,0.07000000000000028,317.4603174603162,nan,nan
770167.03,6270685.98,3,,5.69,5.86,5.75,0.0953939201416947,0.16999999999999993,196.07843137254912,nan,nan
770167.3300000001,6270685.98,2,,5.66,5.78,5.720000000000001,0.0848528137423861,0.1200000000000001,185.18518518518502,nan,nan
770171.2300000001,6270685.98,3,,5.65,5.94,5.833333333333333,0.15947831618540906,0.29000000000000004,114.94252873563218,nan,nan
770171.53,6270685.98,1,,5.94,5.94,5.94,0.0,0.0,11.11111111111111,nan,nan
770171.8300000001,6270685.98,6,,5.64,5.97,5.868333333333333,0.13014094923069633,0.33000000000000007,202.020202020202,nan,nan
770172.1300000001,6270685.98,3,,5.77,6.05,5.91,0.14000000000000024,0.28000000000000025,119.04761904761895,nan,nan
770172.43,6270685.98,1,,5.98,5.98,5.98,0.0,0.0,11.11111111111111,nan,nan
770160.7300000001,6270686.279999999,1,,5.53,5.53,5.53,0.0,0.0,11.11111111111111,nan,nan
770161.03,6270686.279999999,3,,5.49,5.58,5.53,0.04582575694955827,0.08999999999999986,370.37037037037095,nan,nan
770161.3300000001,6270686.279999999,8,,5.62,5.78,5.6975,0.05994044663544917,0.16000000000000014,555.5555555555551,nan,nan
770161.6300000001,6270686.279999999,3,,5.67,5.73,5.69,0.034641016151377706,0.0600000000000005,555.555555555551,nan,nan
770161.93,6270686.279999999,5,,5.67,5.79,5.726,0.043931765272977534,0.1200000000000001,462.9629629629626,nan,nan
