row_id,seq,x,y,status,nearest_dist_m
-2281027,34,770189.2285426114,6270790.403973778,present,0.10129948695167236
-2281027,35,770190.0914069585,6270789.872980333,present,0.1826112477507894
-2281027,36,770190.9542713057,6270789.341986889,present,0.25704565557829
-2281027,37,770191.8171356529,6270788.810993444,present,0.16460029143778424
-2281027,38,770192.68,6270788.279999999,present,0.2523885891623686
-2281027,39,770193.5428643472,6270787.749006555,present,0.2436101463360609
-2281027,40,770194.4057286944,6270787.218013111,present,0.2065157811517459
-2281027,41,770195.2685930416,6270786.687019667,present,0.09251388809420297
-2281027,42,770196.1314573888,6270786.156026222,present,0.15214838286004412
-2281027,43,770196.994321736,6270785.625032778,present,0.11824861749512622
-2281027,44,770197.8571860832,6270785.094039333,present,0.11994904822453538
-2281027,45,770198.7200504304,6270784.563045889,present,0.15180723558445866
-2281027,46,770199.5829147776,6270784.032052444,present,0.17541478977105016
-2281027,47,770200.4457791247,6270783.501059,present,0.16509300329619475
-2281027,48,770201.3086434719,6270782.970065556,present,0.04896177616498432
-2281027,49,770202.1715078191,6270782.439072112,present,0.10804762790665054
-2281027,50,770203.0343721663,6270781.908078667,present,0.20747227272637775
-2281027,51,770203.8972365136,6270781.377085222,present,0.018635926798462255
-2281027,52,770204.7601008607,6270780.846091778,present,0.16203992789723237
-2281027,53,770205.6229652079,6270780.315098333,present,0.16463911921149063
-2281027,54,770206.4858295551,6270779.784104889,present,0.0685101982800862
-2281027,55,770207.3486939023,6270779.253111444,present,0.10410021186700139
-2281027,56,770208.2115582494,6270778.7221180005,present,0.09460699845982377
-2281027,57,770209.0744225966,6270778.191124556,ambiguous,0.5480004938631542
-2281027,58,770209.9372869438,6270777.660131112,ambiguous,0.6103318777659764
-2281027,59,770210.8001512911,6270777.129137667,present,0.1672307389063841
-2281027,60,770211.6630156382,6270776.598144223,present,0.11358096426000278
-2281027,61,770212.5258799854,6270776.067150778,present,0.057338253182854876
-2281027,62,770213.3887443326,6270775.536157333,present,0.08988816891826619
-2281027,63,770214.2516086798,6270775.005163889,present,0.10213680585514137
-2281027,64,770215.114473027,6270774.4741704445,present,0.26669241407425515
-2281027,65,770215.9773373741,6270773.943177001,present,0.04922174769698419
-2281027,66,770216.8402017213,6270773.412183556,present,0.05126702239955818
-2281027,67,770217.7030660685,6270772.881190112,present,0.09494790681544912
-2281027,68,770218.5659304158,6270772.350196667,present,0.011457537894279267
-2281027,69,770219.4287947629,6270771.819203223,present,0.0445707836833695
-2281027,70,770220.2916591101,6270771.288209778,present,0.061812491482534086
-2281027,71,770221.1545234573,6270770.757216334,present,0.057394865274870616
-2281027,72,770222.0173878045,6270770.2262228895,present,0.017793322090644794
-2281027,73,770222.8802521516,6270769.695229445,present,0.10572768164728999
-2281027,74,770223.7431164988,6270769.164236001,present,0.017406789301899876
-2281027,75,770224.605980846,6270768.633242556,present,0.12595130804619029
-2281027,76,770225.4688451933,6270768.102249112,present,0.1663023277704878
-2281026,0,770158.0690400469,6270805.475354206,present,0.09843915229659635
-2281026,1,770158.93643373,6270804.951792253,present,0.07306279022010877
-2281026,2,770159.8038274129,6270804.428230301,present,0.01394020019092469
-2281026,3,770160.6712210958,6270803.904668347,present,0.08793080207170445
-2281026,4,770161.5386147789,6270803.381106394,present,0.112244857223357
-2281026,5,770162.4060084618,6270802.857544442,present,0.0224403783685365
-2281026,6,770163.2734021448,6270802.333982489,present,0.17915307156894936
-2281026,7,770164.1407958277,6270801.810420536,present,0.032251343136718354
-2281026,8,770165.0081895108,6270801.286858584,present,0.00877135011850605
-2281026,9,770165.8755831937,6270800.76329663,present,0.04408307802408593
-2281026,10,770166.7429768767,6270800.239734678,present,0.16252760651455286
-2281026,11,770167.6103705597,6270799.716172725,present,0.11875390719342507
-2281026,12,770168.4777642427,6270799.192610772,present,0.06741106906471621
-2281026,13,770169.3451579256,6270798.66904882,present,0.04574595906648685
-2281026,14,770170.2125516086,6270798.145486867,present,0.10537218714112127
-2281026,15,770171.0799452916,6270797.621924914,present,0.06932348807686367
-2281026,16,770171.9473389746,6270797.098362961,present,0.015173683822234729
-2281026,17,770172.8147326575,6270796.574801008,present,0.19585796994862922
-2281026,18,770173.6821263406,6270796.051239056,present,0.06164785418276075
-2281026,19,770174.5495200235,6270795.527677103,present,0.14068959340918644
-2281026,20,770175.4169137065,6270795.00411515,present,0.06494473955751036
-2281026,21,770176.2843073895,6270794.480553198,present,0.03904288746470723
-2281026,22,770177.1517010725,6270793.956991244,present,0.14355694620266476
-2281026,23,770178.0190947554,6270793.4334292915,present,0.047830484993210166
-2281026,24,770178.8864884384,6270792.909867339,present,0.05066062511348936
-2281026,25,770179.7538821214,6270792.386305386,present,0.024166213866395524
-2281026,26,770180.6212758044,6270791.862743434,present,0.11940615452272038
-2281026,27,770181.4886694873,6270791.339181481,present,0.1482343797468885
-2281026,28,770182.3560631704,6270790.815619528,present,0.03583642566995374
-2281026,29,770183.2234568533,6270790.292057575,present,0.045194195360067434
-2281026,30,770184.0908505362,6270789.768495622,present,0.040763852890730964
-2281026,31,770184.9582442192,6270789.244933669,present,0.1111086490672521
-2281026,32,770185.8256379022,6270788.721371717,present,0.08235006329864843
-2281026,33,770186.6930315852,6270788.197809764,present,0.008377524654255767
-2281026,34,770187.5604252681,6270787.674247812,present,0.13285988550101197
-2281026,35,770188.4278189512,6270787.150685858,present,0.09418270457411923
-2281026,36,770189.2952126341,6270786.627123905,present,0.06774275053365487
-2281026,37,770190.1626063171,6270786.103561953,present,0.09845144197639227
-2281026,38,770191.03,6270785.58,present,0.07280109872074338
-2281026,39,770191.8973936831,6270785.056438047,present,0.09760623931696683
-2281026,40,770192.764787366,6270784.532876095,present,0.05087578201762382
-2281026,41,770193.632181049,6270784.009314142,present,0.05888552059758157
-2281026,42,770194.499574732,6270783.485752189,present,0.04713977768130671
-2281026,43,770195.366968415,6270782.962190236,present,0.06446357506943669
-2281026,44,770196.2343620979,6270782.438628283,present,0.031673529783628175
-2281026,45,770197.101755781,6270781.915066331,present,0.07270209341031453
-2281026,46,770197.9691494639,6270781.391504378,present,0.09981466282514516
-2281026,47,770198.8365431469,6270780.867942425,present,0.03739630591422616
-2281026,48,770199.7039368298,6270780.344380472,present,0.08949856081444316
-2281026,49,770200.5713305129,6270779.820818519,present,0.09196903257169536
-2281026,50,770201.4387241958,6270779.297256567,present,0.04362467970321547
-2281026,51,770202.3061178788,6270778.773694614,present,0.045846837815791484
-2281026,52,770203.1735115618,6270778.250132661,present,0.10694462043536344
-2281026,53,770204.0409052448,6270777.726570709,present,0.1376380714287702
-2281026,54,770204.9082989277,6270777.203008756,present,0.10462148274967713
-2281026,55,770205.7756926107,6270776.6794468025,present,0.05496646747487694
-2281026,56,770206.6430862937,6270776.15588485,present,0.042669654293468036
-2281026,57,770207.5104799767,6270775.632322897,present,0.08287152876249983
-2281026,58,770208.3778736596,6270775.108760945,present,0.09650346861034623
-2281026,59,770209.2452673427,6270774.585198992,present,0.07874123018454339
-2281026,60,770210.1126610256,6270774.061637039,present,0.11631668451885664
-2281026,61,770210.9800547085,6270773.538075086,present,0.13587175771514343
-2281026,62,770211.8474483916,6270773.014513133,ambiguous,0.8564151010303153
-2281026,63,770212.7148420746,6270772.49095118,present,0.2126541061092619
-2281026,64,770213.5822357575,6270771.967389228,present,0.058679103739445196
-2281026,65,770214.4496294404,6270771.443827275,present,0.14895507868583147
-2281026,66,770215.3170231235,6270770.920265323,ambiguous,0.9198681963238492
-2281026,67,770216.1844168064,6270770.39670337,present,0.13766810896301476
-2281026,68,770217.0518104894,6270769.873141416,present,0.11647382543820624
-2281026,69,770217.9192041724,6270769.349579464,present,0.02184920643683954
-2281026,70,770218.7865978554,6270768.826017511,present,0.046984790770109176
-2281026,71,770219.6539915383,6270768.302455558,present,0.0808454235381084
-2281026,72,770220.5213852213,6270767.778893606,present,0.05299883558507365
-2281026,73,770221.3887789043,6270767.255331653,present,0.06311166398232104
-2281026,74,770222.2561725873,6270766.7317697,present,0.2816087843021418
-2281026,75,770223.1235662702,6270766.208207747,present,0.12400914932519254
-2281026,76,770223.9909599533,6270765.684645794,present,0.01977854650952192
-2281025,0,770157.1224162849,6270803.400470002,present,0.12693878095456385
-2281025,1,770157.9861347637,6270802.870187029,present,0.03525831284171215
-2281025,2,770158.8498532425,6270802.339904056,present,0.04111215165382189
-2281025,3,770159.7135717212,6270801.809621083,present,0.07517742955619322
-2281025,4,770160.5772902,6270801.27933811,present,0.03422964646107836
-2281025,5,770161.4410086789,6270800.749055137,present,0.13222315194604378
-2281025,6,770162.3047271576,6270800.218772164,present,0.10286007584139617
-2281025,7,770163.1684456364,6270799.688489191,present,0.016309569033978608
-2281025,8,770164.0321641152,6270799.158206218,present,0.10119755126287681
-2281025,9,770164.895882594,6270798.627923245,present,0.09564537369911078
-2281025,10,770165.7596010728,6270798.097640272,present,0.06086912812119747
-2281025,11,770166.6233195516,6270797.567357299,present,0.1500866564015101
-2281025,12,770167.4870380304,6270797.037074326,present,0.12821146076485548
-2281025,13,770168.3507565091,6270796.506791352,present,0.11394311859746362
-2281025,14,770169.2144749879,6270795.97650838,present,0.14766811146132483
-2281025,15,770170.0781934668,6270795.446225407,present,0.073616859809408
-2281025,16,770170.9419119455,6270794.915942433,present,0.06218776678236245
-2281025,17,770171.8056304243,6270794.385659461,present,0.20384408250800723
-2281025,18,770172.6693489031,6270793.855376488,present,0.12093235667286446
-2281025,19,770173.5330673818,6270793.325093514,present,0.11121775471506305
-2281025,20,770174.3967858606,6270792.794810542,present,0.025017867689840923
-2281025,21,770175.2605043395,6270792.264527569,present,0.151378044109112
-2281025,22,770176.1242228183,6270791.734244595,present,0.14880568868972077
-2281025,23,770176.987941297,6270791.203961623,present,0.06596513266728557
-2281025,24,770177.8516597758,6270790.67367865,present,0.08636290946392113
-2281025,25,770178.7153782547,6270790.143395676,present,0.07354104828120864
-2281025,26,770179.5790967334,6270789.613112704,present,0.08405386900809668
-2281025,27,770180.4428152122,6270789.082829731,present,0.05289096341805165
-2281025,28,770181.306533691,6270788.552546757,present,0.04094030186358997
