label,x,y,weight,n_points
120,770142.4490751445,6270768.647341041,346.0,114
121,770188.6134254145,6270766.804309393,181.0,60
122,770220.7061061949,6270767.672920355,226.0,74
123,770145.5757943925,6270769.635140187,535.0,167
124,770153.7001803052,6270773.230069349,721.0,255
125,770221.8247761194,6270769.975522389,268.0,87
126,770136.9221568628,6270769.062352941,153.0,49
127,770193.992012987,6270775.226103895,616.0,249
128,770181.9144594596,6270770.825270271,148.0,54
129,770156.9437628111,6270777.331537335,683.0,280
130,770213.2407142858,6270772.219285716,28.0,11
131,770213.8330150754,6270774.972964823,199.0,82
132,770174.037949791,6270775.648619247,239.0,97
133,770184.5828735634,6270789.704137932,1566.0,623
134,770156.5746236559,6270780.437526883,558.0,233
135,770147.8927177701,6270779.912404181,287.0,111
136,770189.0344286981,6270790.009583703,1129.0,460
137,770165.0325806453,6270781.205806451,155.0,66
138,770175.0989655174,6270780.924827586,29.0,11
139,770156.7290243903,6270783.313170733,205.0,88
140,770171.3687755103,6270789.028979592,588.0,247
141,770183.9847511314,6270795.878416289,1326.0,542
142,770170.6472413794,6270783.548965517,87.0,40
143,770160.4619148935,6270784.060851065,47.0,20
144,770167.43,6270785.53,24.0,10
145,770149.693559322,6270787.560508474,118.0,52
146,770156.1665384615,6270786.664615383,52.0,21
147,770164.9829411765,6270787.053529412,34.0,16
148,770157.4797630332,6270791.625497631,211.0,98
149,770151.7773684211,6270789.274736841,38.0,14
150,770149.73,6270790.610769231,39.0,18
151,770153.4238461538,6270797.127692308,65.0,29
152,770154.8585714287,6270799.437142857,42.0,20
153,770163.0014285715,6270805.892857144,210.0,82
